439 time:457.27,best fitness:-5.111488654873595
440 time:455.35,best fitness:-5.115862787868028
441 time:458.79,best fitness:-5.149644864283151
442 time:456.84,best fitness:-5.1366985650390005
443 time:458.55,best fitness:-5.151484073649788
444 time:456.78,best fitness:-5.139524559779032
445 time:454.66,best fitness:-5.1526575442393066
446 time:458.69,best fitness:-5.1451621168857855
447 time:458.7,best fitness:-5.148218272753597
448 time:457.63,best fitness:-5.125491647403017
449 time:458.88,best fitness:-5.175199788690808
450 time:459.37,best fitness:-5.174989398299193
451 time:460.3,best fitness:-5.170926787577784
452 time:460.6,best fitness:-5.117993688642348
453 time:461.32,best fitness:-5.143512954894271
454 time:457.34,best fitness:-5.1167027927638955
455 time:456.61,best fitness:-5.143435211009427
456 time:458.7,best fitness:-5.145476001614648
457 time:457.64,best fitness:-5.113302518175419
458 time:457.37,best fitness:-5.1339739841804555
459 time:457.33,best fitness:-5.1486526794595315
460 time:466.29,best fitness:-5.172977730643305
461 time:459.01,best fitness:-5.1607778896279255
462 time:457.0,best fitness:-5.177709250440972
463 time:459.73,best fitness:-5.156839454140274
464 time:457.41,best fitness:-5.1600848554483445
465 time:459.73,best fitness:-5.169013780385546
466 time:451.75,best fitness:-5.122456428337765
467 time:461.28,best fitness:-5.160752772590783
468 time:462.31,best fitness:-5.095145567772471
469 time:457.81,best fitness:-5.159739714562201
470 time:457.13,best fitness:-5.144909683399161
471 time:459.77,best fitness:-5.1030851400915695
472 time:458.35,best fitness:-5.1530451148329295
473 time:459.06,best fitness:-5.134067661515491
474 time:457.81,best fitness:-5.123899872713695
475 time:456.42,best fitness:-5.19901208232159
476 time:462.06,best fitness:-5.111304537132976
477 time:455.96,best fitness:-5.149969905986843
478 time:459.54,best fitness:-5.140657228455983
479 time:460.0,best fitness:-5.136617259919724
480 time:462.91,best fitness:-5.155590200576128
481 time:455.32,best fitness:-5.141137832180142
482 time:460.17,best fitness:-5.119030401391572
483 time:461.09,best fitness:-5.1949057832740335
484 time:455.61,best fitness:-5.175333835966488
485 time:461.25,best fitness:-5.152558919105916
486 time:456.81,best fitness:-5.142071551792017
487 time:461.95,best fitness:-5.152440099429354
488 time:451.72,best fitness:-5.158142593142346
489 time:454.1,best fitness:-5.15242809910068
490 time:451.96,best fitness:-5.123550534394079
491 time:458.91,best fitness:-5.141953278959521
492 time:453.09,best fitness:-5.123635771317046
493 time:460.65,best fitness:-5.0895817618221715
494 time:454.96,best fitness:-5.155942272395651
495 time:459.78,best fitness:-5.142060810309187
496 time:463.22,best fitness:-5.171167599062436
497 time:457.12,best fitness:-5.12487111946852
498 time:463.78,best fitness:-5.138222372239757
499 time:456.2,best fitness:-5.141032945167413
500 time:454.07,best fitness:-5.15049909949032
501 time:457.81,best fitness:-5.171272289378639
502 time:459.35,best fitness:-5.147880990977732
503 time:456.59,best fitness:-5.16350158741249
504 time:453.81,best fitness:-5.1387129409377845
505 time:452.88,best fitness:-5.127233548775246
506 time:458.03,best fitness:-5.107994287668772
507 time:459.31,best fitness:-5.168390723262956
508 time:457.34,best fitness:-5.131087138772353
509 time:458.44,best fitness:-5.11023334653189
510 time:459.91,best fitness:-5.134049122835871
511 time:462.08,best fitness:-5.079729687220017
512 time:454.02,best fitness:-5.127611215596729
513 time:458.43,best fitness:-5.121546736184142
514 time:457.45,best fitness:-5.13950137911618
515 time:458.95,best fitness:-5.141814604861733
516 time:456.44,best fitness:-5.163227272803267
517 time:458.41,best fitness:-5.183368560053436
518 time:458.05,best fitness:-5.13607658640898
519 time:459.03,best fitness:-5.1552241305472934
520 time:454.96,best fitness:-5.1532556741211115
521 time:457.04,best fitness:-5.135735752415576
522 time:455.04,best fitness:-5.183255857370449
523 time:457.46,best fitness:-5.092158006812279
524 time:460.45,best fitness:-5.126649979019584
525 time:455.55,best fitness:-5.1482122801166055
526 time:455.23,best fitness:-5.198772928257698
527 time:454.85,best fitness:-5.104920197756388
528 time:457.52,best fitness:-5.106169707056866
529 time:456.31,best fitness:-5.158725830586557
530 time:461.29,best fitness:-5.1386540295037655
531 time:456.69,best fitness:-5.13460569690635
532 time:456.53,best fitness:-5.125202090067558
533 time:455.65,best fitness:-5.160018458780459
534 time:459.15,best fitness:-5.119976265970382
535 time:457.8,best fitness:-5.120905206314694
536 time:464.16,best fitness:-5.179498371841761
537 time:456.54,best fitness:-5.137835664536033
538 time:453.22,best fitness:-5.1299958906046585
539 time:461.67,best fitness:-5.148234821211671
540 time:457.29,best fitness:-5.176270629331902
541 time:453.92,best fitness:-5.189889068225527
542 time:457.13,best fitness:-5.1196679287479725
543 time:454.48,best fitness:-5.182453453885392
544 time:454.86,best fitness:-5.145434681067787
545 time:453.31,best fitness:-5.121444090763699
546 time:454.33,best fitness:-5.115097656233429
547 time:454.61,best fitness:-5.1578386220965555
548 time:455.92,best fitness:-5.149747824743792
549 time:457.32,best fitness:-5.140035280861138
550 time:457.08,best fitness:-5.1242605941165245
551 time:455.92,best fitness:-5.150687404749488
552 time:455.79,best fitness:-5.173185251888201
553 time:454.84,best fitness:-5.149142594108893
554 time:459.63,best fitness:-5.140103256199379
555 time:459.76,best fitness:-5.156296795883825
556 time:460.02,best fitness:-5.167957598550274
557 time:458.21,best fitness:-5.17513385187188
558 time:455.66,best fitness:-5.162475203443672
559 time:465.28,best fitness:-5.149113328731646
560 time:456.15,best fitness:-5.143469134689564
561 time:455.43,best fitness:-5.158689813261253
562 time:456.46,best fitness:-5.144622135480491
563 time:456.25,best fitness:-5.144709971163108
564 time:454.51,best fitness:-5.151863985198801
565 time:457.9,best fitness:-5.131490748603282
566 time:457.84,best fitness:-5.120858016009014
567 time:459.26,best fitness:-5.15734814630781
568 time:456.13,best fitness:-5.1605639336167215
569 time:458.89,best fitness:-5.154514431249632
570 time:458.62,best fitness:-5.147563978206394
571 time:453.11,best fitness:-5.126504820089044
572 time:452.76,best fitness:-5.187857999711833
573 time:456.5,best fitness:-5.1321870072623925
