401 time:153.0,best fitness:-11.772218358931811
402 time:156.0,best fitness:-10.983315749239786
403 time:154.11,best fitness:-11.167643685338541
404 time:154.75,best fitness:-11.702353777114991
405 time:151.87,best fitness:-12.905942069307303
406 time:156.93,best fitness:-11.709270990448339
407 time:154.46,best fitness:-11.26859641577949
408 time:154.68,best fitness:-11.080403768714463
409 time:154.04,best fitness:-11.179585008788507
410 time:155.3,best fitness:-11.229890630514875
411 time:155.55,best fitness:-11.592433769935852
412 time:156.6,best fitness:-12.218175662075675
413 time:153.96,best fitness:-12.177418702500425
414 time:154.33,best fitness:-11.286571245358274
415 time:154.95,best fitness:-12.132873917145455
416 time:153.81,best fitness:-11.517270830723044
417 time:154.22,best fitness:-11.412560250173819
418 time:157.67,best fitness:-11.548640473154185
419 time:154.22,best fitness:-11.992091472316632
420 time:153.82,best fitness:-11.76303744161836
421 time:158.93,best fitness:-11.389718070227746
422 time:152.51,best fitness:-11.452293929187874
423 time:155.98,best fitness:-11.749852746265482
424 time:155.74,best fitness:-11.180237824310625
425 time:158.95,best fitness:-11.786111566213789
426 time:155.88,best fitness:-11.851587896019595
427 time:153.04,best fitness:-11.629354562509478
428 time:150.18,best fitness:-11.177728240616597
429 time:154.5,best fitness:-11.485138558850755
430 time:150.64,best fitness:-11.940720307845405
431 time:150.5,best fitness:-11.16206649683968
432 time:149.78,best fitness:-11.839758927118552
433 time:152.42,best fitness:-11.559664375692398
434 time:153.31,best fitness:-11.778293323532258
435 time:150.34,best fitness:-12.373015634979447
436 time:153.56,best fitness:-11.816250543894212
437 time:154.98,best fitness:-12.042060776740499
438 time:155.79,best fitness:-11.636327566432188
439 time:156.88,best fitness:-12.292465659887236
440 time:155.31,best fitness:-11.833796780087285
441 time:155.27,best fitness:-12.008177992247399
442 time:153.81,best fitness:-11.54272321129479
443 time:153.86,best fitness:-11.294676282943522
444 time:154.59,best fitness:-11.453205970617281
445 time:150.39,best fitness:-11.35744833021531
446 time:146.79,best fitness:-14.282550898559274
447 time:148.4,best fitness:-12.507298044685678
448 time:148.23,best fitness:-12.703292652924631
449 time:149.01,best fitness:-11.760844978046359
450 time:150.09,best fitness:-11.819604919031
451 time:154.29,best fitness:-11.620380313712872
452 time:148.25,best fitness:-11.90092761555045
453 time:152.02,best fitness:-10.813687498018018
454 time:152.88,best fitness:-11.246905136809099
455 time:151.21,best fitness:-12.352524142862102
456 time:150.62,best fitness:-11.20044256719757
457 time:152.84,best fitness:-11.99602174193364
458 time:152.03,best fitness:-12.157736908726756
459 time:154.09,best fitness:-12.300759941835537
460 time:155.69,best fitness:-12.195525446292939
461 time:153.86,best fitness:-11.024643879576892
462 time:155.15,best fitness:-11.78696452942159
463 time:157.2,best fitness:-11.22423951819066
464 time:155.7,best fitness:-11.609416521784823
465 time:156.74,best fitness:-12.46196770754161
466 time:156.72,best fitness:-11.521327631630122
467 time:157.29,best fitness:-11.641541838551213
468 time:154.97,best fitness:-11.187935250464795
469 time:154.69,best fitness:-11.244763772170897
470 time:155.11,best fitness:-11.51689165491189
471 time:152.87,best fitness:-10.911616224964346
472 time:152.8,best fitness:-11.736582409838407
473 time:156.05,best fitness:-11.844311156193497
474 time:155.12,best fitness:-12.049783270851998
475 time:152.7,best fitness:-11.446580644286717
476 time:155.95,best fitness:-12.322159732550295
477 time:155.33,best fitness:-11.858220800480538
478 time:156.32,best fitness:-11.786746427331027
479 time:156.39,best fitness:-11.768504863713366
480 time:152.05,best fitness:-11.954443813905229
481 time:156.13,best fitness:-11.821789711681804
482 time:155.9,best fitness:-11.924088418307692
483 time:155.34,best fitness:-12.564608502433055
484 time:156.04,best fitness:-12.316728259578156
485 time:153.7,best fitness:-11.652317153953478
486 time:156.11,best fitness:-11.462434849457571
487 time:154.65,best fitness:-11.859890370196025
488 time:155.64,best fitness:-12.15667450550385
489 time:155.23,best fitness:-11.239849180254225
490 time:155.46,best fitness:-12.342398038478725
491 time:154.84,best fitness:-10.645763052857488
492 time:155.86,best fitness:-11.719667712447084
493 time:155.4,best fitness:-12.052301392753757
494 time:156.6,best fitness:-11.772816832370316
495 time:154.14,best fitness:-11.545096943346138
496 time:154.11,best fitness:-12.291733225301044
497 time:151.37,best fitness:-11.640037298698592
498 time:156.53,best fitness:-12.098459345037304
499 time:155.44,best fitness:-10.977852271054912
500 time:155.39,best fitness:-11.362986571956318
501 time:155.32,best fitness:-11.567063184137666
502 time:157.23,best fitness:-12.551386002599578
503 time:157.29,best fitness:-12.0201194070489
504 time:154.31,best fitness:-11.247157121480313
505 time:153.71,best fitness:-11.81522253294578
506 time:156.31,best fitness:-11.294006457988798
507 time:151.59,best fitness:-11.95317902867751
508 time:151.4,best fitness:-11.657983319807862
509 time:155.3,best fitness:-11.625549441300008
510 time:155.71,best fitness:-11.520230442938505
511 time:154.96,best fitness:-11.46177676181921
512 time:149.34,best fitness:-11.75002915419173
513 time:162.21,best fitness:-11.423787451780198
514 time:119.85,best fitness:-12.097855012851682
515 time:112.62,best fitness:-11.72042165987706
516 time:117.32,best fitness:-11.616601155410692
517 time:117.34,best fitness:-11.663703405640172
518 time:116.56,best fitness:-12.154384357307038
519 time:117.1,best fitness:-11.830240766245474
520 time:115.46,best fitness:-11.744712554120573
521 time:115.2,best fitness:-11.20364187784059
522 time:114.25,best fitness:-11.416223509175639
523 time:116.55,best fitness:-11.196749430962262
524 time:114.42,best fitness:-12.304830019999434
525 time:117.85,best fitness:-11.209402695911114
526 time:116.1,best fitness:-12.007432420932483
527 time:113.8,best fitness:-12.143159713280651
528 time:111.04,best fitness:-11.298180123694143
529 time:115.26,best fitness:-11.597426791500586
530 time:130.3,best fitness:-11.326264923057606
531 time:124.23,best fitness:-11.58063428945043
532 time:109.01,best fitness:-11.373306792561658
533 time:111.92,best fitness:-12.328193578281144
534 time:108.8,best fitness:-11.29787133699631
535 time:108.4,best fitness:-11.27611403275237
536 time:106.24,best fitness:-12.100655020479445
537 time:112.68,best fitness:-11.285362100838286
538 time:108.09,best fitness:-11.563389350159005
539 time:108.28,best fitness:-11.556358899080701
540 time:108.84,best fitness:-11.218114310340551
