623 time:71.95,best fitness:71.13615384615383
624 time:70.73,best fitness:71.13615384615386
625 time:70.75,best fitness:71.11015384615384
626 time:70.89,best fitness:71.12415384615386
627 time:71.9,best fitness:71.12607692307694
628 time:72.68,best fitness:71.12965384615384
629 time:71.75,best fitness:71.14065384615384
630 time:72.13,best fitness:71.14015384615385
631 time:71.82,best fitness:71.13765384615384
632 time:71.38,best fitness:71.14115384615384
633 time:71.35,best fitness:71.13965384615385
634 time:69.83,best fitness:71.12872307692308
635 time:71.03,best fitness:71.13765384615385
636 time:70.54,best fitness:71.12731538461539
637 time:70.77,best fitness:71.13965384615383
638 time:71.02,best fitness:71.13715384615385
639 time:70.42,best fitness:71.13315384615386
640 time:70.75,best fitness:71.14115384615384
641 time:69.18,best fitness:71.13565384615386
642 time:71.34,best fitness:71.13316153846152
643 time:70.73,best fitness:71.13441538461538
644 time:70.78,best fitness:71.13615384615386
645 time:71.5,best fitness:71.13765384615384
646 time:69.99,best fitness:71.13515384615386
647 time:69.83,best fitness:71.12815384615385
648 time:70.66,best fitness:71.14015384615385
649 time:70.61,best fitness:71.13815384615384
650 time:70.23,best fitness:71.13515384615386
651 time:70.34,best fitness:71.13415384615386
652 time:70.9,best fitness:71.13965384615383
653 time:70.34,best fitness:71.13415384615385
654 time:71.58,best fitness:71.13915384615385
655 time:71.62,best fitness:71.13865384615386
656 time:71.49,best fitness:71.14015384615385
657 time:71.55,best fitness:71.13865384615383
658 time:70.96,best fitness:71.13215384615384
659 time:71.1,best fitness:71.13965384615383
660 time:71.8,best fitness:71.12815384615385
661 time:71.53,best fitness:71.12465384615383
662 time:72.22,best fitness:71.13515384615384
663 time:71.33,best fitness:71.12765384615383
664 time:71.75,best fitness:71.13665384615385
665 time:72.06,best fitness:71.13115384615384
666 time:72.61,best fitness:71.12965384615384
667 time:72.96,best fitness:71.13153076923076
668 time:71.93,best fitness:71.12615384615385
